species,Site,lat,long,Date
Amazonian Barred-woodcreeper,Canopy Walkway,4.244782,-58.904825,27/07/2017
Black-throated Antshrike,Canopy Walkway,4.244782,-58.904825,26/07/2018
Black-throated Antshrike,Canopy Walkway,4.244782,-58.904825,26/07/2018
Black-throated Antshrike,Canopy Walkway,4.244782,-58.904825,25/07/2017
Cinnamon-crested Spadebill,Canopy Walkway,4.244782,-58.904825,26/07/2017
Cinnamon-crested Spadebill,Canopy Walkway,4.244782,-58.904825,26/07/2017
Cinnamon-crested Spadebill,Canopy Walkway,4.244782,-58.904825,27/07/2018
Cinnamon-crested Spadebill,Canopy Walkway,4.244782,-58.904825,26/07/2018
Cinnamon-crested Spadebill,Kabokalli,4.2855,-58.5112,23/07/2018
Cinnamon-crested Spadebill,Kabokalli,4.2855,-58.5112,21/07/2018
Cinnamon-crested Spadebill,Kabokalli,4.2855,-58.5112,23/07/2017
Dusky-throated Antshrike,Kabokalli,4.2855,-58.5112,22/07/2018
Dusky-throated Antshrike,Kabokalli,4.2855,-58.5112,21/07/2017
Dusky-throated Antshrike,Kabokalli,4.2855,-58.5112,22/07/2018
Fasciated Antshrike,Kabokalli,4.2855,-58.5112,23/07/2018
Cinnamon-crested Spadebill,Mill Site,4.6124,-58.7337,02/07/2017
Cinnamon-crested Spadebill,Mill Site,4.6124,-58.7337,30/06/2018
Cinnamon-crested Spadebill,Mill Site,4.6124,-58.7337,30/06/2018
Cinnamon-crested Spadebill,Mill Site,4.6124,-58.7337,29/06/2018
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,01/07/2018
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,01/07/2017
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,03/07/2017
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,04/07/2017
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,03/07/2017
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,04/07/2017
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,01/07/2017
Dusky-throated Antshrike,Mill Site,4.6124,-58.7337,29/06/2018
Golden-headed Manakin,Mill Site,4.6124,-58.7337,01/07/2018
Golden-headed Manakin,Mill Site,4.6124,-58.7337,01/07/2018
Grey Antwren,Mill Site,4.6124,-58.7337,03/07/2017
Grey Antwren,Mill Site,4.6124,-58.7337,01/07/2018
Grey Antwren,Mill Site,4.6124,-58.7337,03/07/2017
Grey Antwren,Mill Site,4.6124,-58.7337,03/07/2017
